Ward,Ward,Winner[36][37],Winner[36][37],Winner[36][37],Winner[36][37],Runner Up,Runner Up,Runner Up,Runner Up,Margin
#,Name,Candidate,Party,Party.1,Votes,Candidate,Party,Party.1,Votes,Margin
65,Ashok Vihar (W),Poonam Sharma,,BJP,9995,Reeta Khari,,AAP,9839,156
66,Wazir Pur (SC-W),Chitra Vidyarthi,,AAP,15987,Sonia,,BJP,13291,2696
67,Sangam Park (SC),Sushil,,BJP,7039,Ravi Shankar,,AAP,6809,230
68,Model Town,Vikesh Sethi,,BJP,13896,Nathu Ram Nagar,,AAP,12069,1827
69,Kamla Nagar (W),Renu Aggarwal,,BJP,14144,Kiran Gupta Sethi,,AAP,9795,4349
70,Shastri Nagar,Manoj Kumar Jindal,,BJP,23413,Babita,,AAP,11204,12209
71,Kishan Ganj (SC-W),Pooja,,AAP,13728,Geeta Devi,,BJP,10256,3472
72,Sadar Bazar (W),Usha Sharma,,AAP,13770,Pinki Jain,,BJP,9037,4733
73,Civil Lines (SC),Vikas,,AAP,12498,Avtar Singh,,BJP,5545,6953
74,Chandni Chowk,Punardeep Singh Sawhney,,AAP,8774,Ravinder Kumar,,BJP,7558,1216
75,Jama Masjid (W),Sultana Abad,,AAP,11216,Shahin Parveen,,INC,3793,7423
76,Chandani Mahal,Aaley Mohammad Iqbal,,AAP,19199,Mohammad Hamid,,INC,2065,17134
77,Delhi Gate (SC-W),Kiran Bala,,AAP,8866,Deepti Arora,,BJP,7075,1791
78,Bazar Sita Ram (W),Rafia Mahir,,AAP,16639,Seema Tahira,,INC,3753,12886
79,Ballimaran,Mohammad Sadiq,,AAP,15773,Ram Dev Sharma,,BJP,4147,11626
80,Ram Nagar (SC),Kamal Bagri,,BJP,12589,Dharmender Kumar,,AAP,10255,2334
81,Quraish Nagar (W),Shamim Bano,,AAP,14853,Samina Raza,,BJP,6643,7940
82,Pahar Ganj,Manish Chadda,,BJP,14242,Amar Nath,,AAP,11183,3059
83,Karol Bagh (SC-W),Urmila Devi,,AAP,15108,Usha Lawaria,,BJP,9111,5997
84,Dev Nagar (SC),Mahesh Kumar,,AAP,17253,Ghan Shyam,,BJP,10508,6745
85,West Patel Nagar (SC-W),Kavita Chauhan,,AAP,15782,Meenu,,BJP,10466,5316
86,East Patel Nagar (W),Shelly Oberoi,,AAP,9987,Deepali Kapoor,,BJP,9718,269
87,Ranjeet Nagar,Ankush Narang,,AAP,14757,Tej Ram Phore,,BJP,7992,6765
88,Baljeet Nagar (W),Runakshi Sharma,,AAP,10652,Ayushi Tiwari,,BJP,7061,3591
89,Karam Pura,Rakesh Joshi,,AAP,15840,Rajiv Girotra,,BJP,13074,2766
90,Moti Nagar (W),Alka Dhingra,,AAP,12644,Ritu Madan,,BJP,11980,664
91,Ramesh Nagar,Puneet Rai,,AAP,10115,Pradeep Kumar Tiwari,,BJP,9592,523
92,Punjabi Bagh (W),Suman Tyagi,,BJP,13497,Sulochana Devi,,AAP,11624,1873
93,Madipur (SC),Sahil Gangwal,,AAP,10534,Sant Parkash Gangwal,,INC,9729,625
94,Raghubir Nagar (SC-W),Urmila Gangwal,,BJP,13911,Pratima Anand,,AAP,13765,146
95,Vishnu Garden,Meenakshi Chandela,,AAP,13791,Sanjay Yadav,,BJP,9784,4007
96,Rajouri Garden (W),Shashi Talwar,,BJP,13281,Priya Chandela,,AAP,11362,1919
97,Chaukhandi Nagar,Sunil Kumar Chadha,,AAP,11780,Suman Kharwal,,BJP,8439,3341
98,Subhash Nagar (W),Manju Setia,,AAP,14609,Rekha Sahni,,BJP,10200,4409
99,Hari Nagar,Rajesh Kumar Ladi,,AAP,15424,Shyam Sharma,,BJP,13535,1889
100,Fateh Nagar (W),Raminder Kaur,,AAP,11233,Inder Jit Kaur,,BJP,10389,844
101,Tilak Nagar,Ashok Kumar Maanu,,AAP,11080,Raj Kumar Grover,,BJP,9046,2034
102,Khyala (W),Shilpa Kaur,,AAP,15562,Paramjeet Kaur,,BJP,7084,8478
103,Keshopur,Harish Oberroi,,BJP,12092,Sachin Tyagi,,AAP,11916,176
104,Janak Puri South (W),Dimple Ahuja,,AAP,14408,Akriti Kaur Tapar,,BJP,12984,1424
105,Mahaveer Enclave,Parveen Kumar,,AAP,18752,Ajit Singh,,BJP,15890,2862
106,Janak Puri West (W),Urmila Chawla,,BJP,12994,Geetu,,AAP,11411,1583
107,Vikas Puri,Sahib Kumar,,AAP,17902,Sunil Jindal,,BJP,12560,5342
108,Hastsal (W),Rakhi Yadav,,AAP,15319,Suman Singla,,BJP,12533,2786
109,Shiv Vihar,Ashok Pandey,,AAP,18527,Pankaj Kumar Singh,,BJP,14919,3608
110,Bhakkar Wala (W),Raj Bala,,AAP,10058,Krishna,,INC,8889,1169
111,Baprola,Ravinder,,AAP,13099,Satpal Solanki,,IND,12172,927
112,Vikas Nagar (W),Nirmala Kumari,,AAP,20193,Reeta,,BJP,14001,6192
113,Mohan Garden-West,Surender Kaushik,,AAP,13420,Shyam Kumar Mishra,,BJP,10138,3282
114,Mohan Garden-East (W),Nirmla Devi,,AAP,23173,Rinku,,BJP,22652,521
115,Uttam Nagar,Deepak Vohra,,AAP,16846,Rajesh Aggarwal,,BJP,14846,2000
116,Binda Pur (W),Krishna Devi Raghav,,AAP,16620,Sudha Sharma,,BJP,10983,5637
117,Dabri,Tilotma Choudhary,,AAP,16601,Vinay Kumar Chauhan,,BJP,14891,1710
118,Sagarpur (W),Simmi Yadav,,AAP,16217,Poonam Jindal,,BJP,14273,1944
119,Manglapuri,Narender Kumar,,AAP,18400,Vijay Veer Solanki,,BJP,11220,7180
120,Dwarka-B (W),Kamaljeet Sehrawat,,BJP,14782,Sudha Sinha,,AAP,7905,6877
121,Dwarka-A,Ram Niwas Gehlot,,BJP,13214,Shalini Singh,,AAP,11459,1755
122,Matiala (W),Anuradha Ashok Sharma,,BJP,15500,Rajnesh,,AAP,14297,1203
123,Kakrola,Sudesh Kumar,,AAP,17815,Pawan Tomar,,BJP,11671,6144
124,Nangli Sakrawati (W),Savita,,BJP,20717,Geetu,,AAP,18369,2348
125,Chhawala,Shashi Yadav,,BJP,15246,Jagdish,,AAP,10729,4517
126,Isapur (W),Meena Devi,,IND,12782,Pinki Taxat,,AAP,10612,2170
127,Najafgarh,Amit Kharkhari,,BJP,13998,Rajvir Singh Dabas,,AAP,12954,1044
128,Dichaon Kalan (W),Neelam,,BJP,22280,Anita,,AAP,11833,10447
129,Roshan Pura,Devender,,BJP,16457,Dr Sanjay Parashar,,AAP,15237,1220
130,Dwarka-C (W),Sunita,,AAP,6200,Sushma,,BJP,5629,571
131,Bijwasan,Jaivir Singh Rana,,BJP,10571,Narender Rana,,AAP,8719,1852
132,Kapashera (W),Aarti Yadav,,AAP,4586,Sunita Devi,,BJP,3102,1484
133,Mahipalpur,Inderjeet Sherawat,,BJP,8427,Joginder Singh,,AAP,8156,271
134,Raj Nagar (W),Poonam Bhardwaj,,AAP,16880,Aruna Rawat,,BJP,11432,5448
135,Palam,Seema Pandit,,BJP,11164,Vishnu Sharma,,AAP,10779,385
136,Madhu Vihar (W),Sushma Rathee,,BJP,19836,Neha Goswami,,AAP,14401,5435
137,Mahavir Enclave,Ajay Kumar Rai,,AAP,12780,Raj Kumar,,BJP,11438,1342
138,Sadh Nagar (W),Inder Kaur,,BJP,13485,Sangeeta,,AAP,11820,1665
139,Naraina,Umang Bajaj,,BJP,14246,Vijender Garg,,AAP,10506,3740
140,Inder Puri (SC),Jyoti Gautam,,AAP,12404,Mohan Lal,,BJP,7691,4713
141,Rajinder Nagar (W),Arti Chawla,,AAP,11016,Manika Nischal,,BJP,9629,1387
142,Daryaganj,Sarika Chaudhary,,AAP,6700,Farhad Suri,,INC,6456,244
143,Sidhartha Nagar (W),Sonali,,BJP,8608,Neetu,,AAP,8097,511
144,Lajpat Nagar,Kunwar Arjun Pal Singh Mawrah,,BJP,12728,Subash Malhotra,,AAP,9900,2828
145,Andrews Ganj (W),Anita Baisoya,,AAP,6988,Preeti Bidhuri,,BJP,6052,936
146,Amar Colony,Sharad Kapoor,,BJP,10383,Jitender Kumar,,AAP,9112,1271
147,Kotla Mubarakpur (W),Kusum Lata,,BJP,12355,Rinku Mittal,,AAP,7805,4550
148,Hauz Khas,Kamal Bhardwaj,,AAP,7913,Sumitra Dahiya,,BJP,6640,1273
149,Malviya Nagar (W),Leena Kumar,,AAP,13773,Nandani Sharma,,BJP,10143,3630
150,Green Park,Sarita Phogaat,,AAP,9269,Manoj Gupta,,BJP,7640,1629
151,Munirka (W),Raj Bala Tokas,,AAP,10191,RamaaTokas,,BJP,9266,925
152,R.K Puram,Dharamvir Singh,,AAP,8328,Tulsi Joshi,,BJP,3738,4590
153,Vasant Vihar (W),Himani Jain,,AAP,10618,Raj Rani,,BJP,8007,2611
154,Lado Sarai,Rajeev Sansanwal,,AAP,13385,Pravesh Sejwal,,BJP,8429,4956
155,Mehrauli (W),Rekha Mahender Chaudhary,,AAP,15317,Indu Sharma,,BJP,14047,1270
156,Vasant Kunj,Jag Mohan Mhelawat,,BJP,8992,Amarjeet,,AAP,8238,754
157,Aya Nagar (W),Ved Pal Sheetal Chaudhary,,INC,10226,Himani Ambawta,,AAP,8683,1543
158,Bhati,Sunder Singh,,AAP,13456,Joginder Tanwar,,INC,9385,4071
159,Chhatarpur (W),Pinky Tyagi,,AAP,16290,Shikha Tyagi,,BJP,7768,8522
160,Said-Ul-Ajaib,Umed Singh,,AAP,12168,Kamal Yadav,,BJP,10123,2045
161,Deoli (W),Anita,,BJP,16147,Sneh Lata Fauji,,AAP,15983,164
162,Tigri (SC-W),Jyoti Prakash Jarwal,,AAP,14971,Meera,,BJP,8780,6191
163,Sangam Vihar-A,Chandan Kumar Choudhary,,BJP,9392,Neeraj Yadav,,AAP,9003,389
164,Dakshin Puri (SC),Prem Chauhan,,AAP,16500,Raj Kumar Chautala,,BJP,10412,6088
165,Madangir (SC-W),Geeta,,AAP,13391,Manisha,,BJP,6364,7027
166,Pushp Vihar (SC),Arun Navariya,,AAP,13721,Naresh,,BJP,10114,3607
167,Khanpur (W),Mamta Yadav,,BJP,13687,Suman Gupta,,AAP,10926,2761
168,Sangam Vihar-C,Pankaj Gupta,,AAP,16568,Neeraj Gupta,,BJP,13135,3433
169,Sangam Vihar-B (W),Kajal Singh,,AAP,18856,Savita Devi,,BJP,9676,9180
170,Tughlakabad Extension,Bhagbir,,AAP,17055,Poonam Bhati,,BJP,10904,6151
171,Chitaranjan Park (W),Ashu Thakur,,AAP,10443,Kandhan Choudhary,,BJP,10399,44
172,Chirag Delhi,Krishan Jakhar,,AAP,17768,Rakesh Kumar Gullaiya,,BJP,14052,3716
173,Greater Kailash (W),Shikha Roy,,BJP,9907,Ajit Kaur Pasricha,,AAP,7233,2674
174,Sri Niwas Puri,Rajpal Singh,,BJP,12394,Indu,,AAP,10691,1703
175,Kalkaji (W),Yogita Singh,,BJP,7792,Shivani Chauhan,,AAP,6580,1212
176,Govind Puri,Chander Prakash,,BJP,18929,Vijay Kumar,,AAP,16155,2774
177,Harkesh Nagar (SC-W),Mamta Pawan Pratap,,AAP,17931,Mamta Devi,,BJP,6804,11127
178,Tughlakabad (W),Sugandha,,AAP,12919,Pushpa,,BJP,9885,3034
179,Pul Pehladpur (SC),Rakesh Lohia,,AAP,17109,Munshi Ram,,BJP,13470,3639
180,Badarpur (SC-W),Manju Devi,,AAP,16674,Veena,,BJP,9769,6905
181,Molarband,Hemchand Goel,,AAP,13206,Gagan Kasana,,BJP,13079,127
182,Meethapur (W),Guddi Devi,,BJP,11521,Reeta,,AAP,9216,2305
183,Hari Nagar Extension,Nikhil Chaprana,,AAP,10634,Mohit Chokan,,IND,10169,465
184,Jaitpur (W),Hema,,AAP,14080,Rachna Mishra,,BJP,10735,3345
185,Madanpur Khadar East (SC),Praveen Kumar,,AAP,11306,Lekhraj Singh,,BJP,10995,311
186,Madanpur Khadar West,Braham Singh,,BJP,12921,Harinder Singh,,AAP,8795,4126
187,Sarita Vihar (W),Neetu,,BJP,15493,Muskan,,AAP,10788,4705
188,Abul Fazal Enclave,Ariba Khan,,INC,16554,Wajid Khan,,AAP,15075,1479
189,Zakir Nagar (W),Naziya Danish,,INC,16878,Salma Khan,,AAP,16405,473
190,New Ashok Nagar,Sanjeev Kumar Singh,,BJP,14558,Anita Singh,,AAP,8294,6264
191,Mayur Vihar Phase-I (SC-W),Beena,,AAP,16157,Prema Devi,,BJP,13736,2421
192,Trilokpuri (SC),Vijay Kumar,,AAP,16765,Surender Kumar,,BJP,11759,5006
193,Kondli (W),Munesh,,BJP,10834,Vinita,,AAP,8343,2491
194,Gharoli (SC-W),Priyanka Gautam,,AAP,15290,Sunita Gautam,,BJP,11457,3833
195,Kalyanpuri (SC),Dhirender Kumar Bunty Gautam,,AAP,18370,Raj Kumar Dhillo,,BJP,12909,5461
196,Mayur Vihar Phase-II,Devendra Kumar,,AAP,11538,Bipin Bihari Singh,,BJP,9950,1588
197,Patpar Ganj (SC),Renu Chaudhary,,BJP,10400,Seema,,AAP,9997,403
198,Vinod Nagar,Ravinder Singh Negi,,BJP,13830,Kuldeep Bhandari,,AAP,11519,2311
199,Mandawali (SC),Shashi Chandna,,BJP,10818,Reena Tomar,,AAP,10632,186
200,Pandav Nagar,Yashpal Singh Kaintura,,BJP,13390,Vijay Singh Shishodia Sonu,,AAP,13150,240
201,Lalita Park (W),Shweta Nigam,,AAP,9855,Himanshi Pandey,,BJP,6815,3040
202,Shakarpur,Ram Kishor Sharma,,BJP,13878,Sharad Dikshit,,AAP,10867,3011
203,Laxmi Nagar (SC),Alka Raghav,,BJP,11612,Meenakshi Sharma,,AAP,7793,3819
204,Preet Vihar,Ramesh Kumar Garg,,BJP,12879,Ramesh Pandit,,AAP,6928,5951
205,I.P Extension (SC),Rachna,,AAP,12717,Amrita Pachauri,,BJP,12245,472
206,Anand Vihar,Monika Pant,,BJP,13137,Rahul Jain,,AAP,10473,2664
207,Vishwas Nagar (SC-W),Jyoti Rani,,AAP,11239,Cherry Singh,,BJP,10547,692
208,Anarkali (W),Meenakshi Sharma,,BJP,13301,Rekha,,AAP,8883,4418
209,Jagat Puri,Raju Sachdeva,,BJP,14962,Shiv Dutt Kaushik,,AAP,12987,1975
210,Geeta Colony (W),Neemaa Bhagat,,BJP,10871,Kawaljeet,,AAP,10217,654
211,Krishna Nagar,Sandeep Kapoor,,BJP,13924,Jugal Arora,,AAP,10499,3425
212,Gandhi Nagar (W),Priya Kamboj,,BJP,12474,Rakhi,,AAP,8052,4422
213,Shastri Park,Sameer Ahmad,,INC,12503,Aditya Chaudhary,,AAP,9454,3049
214,Azad Nagar (W),Neelam,,BJP,17495,Shobha Devi,,AAP,9161,8334
215,Shahdara (SC),Bharat Gautam,,BJP,15634,Dalchand Anand,,AAP,11121,4513
216,Jhilmil,Pankaj Luthra,,BJP,19920,Avdhesh Kumar Chaubey,,AAP,11538,8382
217,Dilshad Colony (W),Preeti,,AAP,16136,Sunrika Sharma,,BJP,13493,2643
218,Sundar Nagri (SC-W),Mohini,,AAP,20079,Renu,,BJP,9676,10403
219,Dilshad Garden,B S Panwar,,BJP,15315,Praveen Kasana,,AAP,14371,944
220,Nand Nagri (SC),Ramesh Kumar Bisaiya,,AAP,15959,KM Rinku,,BJP,15905,54
221,Ashok Nagar (W),Reena Maheshwari,,BJP,15406,Sushma Rana,,AAP,8790,6616
222,Ram Nagar East,Chander Prakash Sharma,,BJP,15959,Anil Gautam,,AAP,12863,3096
223,Rohtash Nagar (W),Shivani Panchal,,AAP,9398,Suman Lata,,BJP,9026,372
224,Welcome Colony,Ritesh Suji,,BJP,15464,Sudesh Choudhary,,AAP,10303,5161
225,Seelampur (W),Shakila Ahmed,,IND,10830,Seema Sharma,,BJP,6568,4262
226,Gautam Puri,Satya Sharma,,BJP,8310,Md Riyasat,,INC,7091,1219
227,Chauhan Banger (W),Shagufta Chaudhary,,INC,21131,Asma Begum,,AAP,5938,15193
228,Maujpur,Anil Kumar Sharma,,BJP,15533,Vinod Kumar Sharma,,INC,7748,7785
229,Braham Puri (W),Chhaya Gaurav Sharma,,AAP,14796,Kavita Kumari Sharma,,BJP,14008,788
230,Bhajanpura,Rekha Rani,,AAP,11842,Ram Raj Tiwari,,BJP,8710,3132
231,Ghonda (W),Preeti Gupta,,BJP,15763,Vidya Wati,,AAP,12409,3354
232,Yamuna Vihar,Pramod Gupta,,BJP,15875,Vaneeta,,AAP,6420,9455
233,Subash Mohalla (W),Manisha Singh,,BJP,11206,Rekha Tyagi,,AAP,8535,2671
234,Kabir Nagar,Zarif,,INC,12885,Sazid,,AAP,8790,4095
235,Gorakh Park (W),Priyanka Saxena,,AAP,9936,Kusum Tomar,,BJP,7988,1948
236,Kardam Puri,Mukesh Kumar Bansal,,BJP,15070,Mukesh Yadav,,AAP,7593,7477
237,Harsh Vihar (SC-W),Poonam Nirmal,,AAP,19769,Bijendri,,BJP,13417,6352
238,Saboli (SC),Jaswant Singh,,AAP,14387,Hari Prakash Bahadur,,BJP,11076,3311
239,Gokal Puri (SC-W),Somwati Chaudhry,,AAP,17112,Nirmla Kumari,,BJP,10765,6347
240,Joharipur (SC),Roshan Lal,,AAP,13095,Raj Kumar,,BJP,11659,1436
241,Karawal Nagar-East (W),Shimla Devi,,BJP,17611,Asha Bansal,,AAP,8559,9052
242,Dayalpur,Puneet Sharma,,BJP,18483,Kamal Gaur,,AAP,6169,12314
243,Mustafabad (W),Sabila Begum,,INC,14921,Sarwari Begum,,AIMIM,8339,6582
244,Nehru Vihar,Arun Singh Bhati,,BJP,15001,Aleem,,INC,14645,356
245,Brij Puri (W),Nazia Khatun,,INC,9639,Afreen Naz,,AAP,7521,2118
246,Sri Ram Colony,Md. Aamil Malik,,AAP,17209,Pramod Jha,,BJP,9717,7492
247,Sadatpur (W),Neeta Bisht,,BJP,16206,Rekha Tyagi,,AAP,12106,4100
248,Karawal Nagar-West,Satyapal Singh,,BJP,15174,Jitendra Bansala,,AAP,11530,3644
249,Sonia Vihar (W),Soni Pandey,,BJP,14871,Rimjhim Sharma,,AAP,13233,1638
250,Sabapur,Brijesh Singh,,BJP,8720,Birendra Kumar,,AAP,6856,1864
